task_key,change,task,impl_provider,impl_model,impl_effort,n_impl_sessions,impl_total_tokens,impl_output_tokens,peak_context,n_compactions,n_tool_calls,brief_bytes,n_reviews,C1,C2,C3,C4,C5,C6,C7,composite,G1,G2,G3,G4,G5,n_critical,n_important,n_minor,rounds_to_accept,final_grade,ph_orient,ph_explore,ph_red,ph_green,ph_refactor,ph_verify,ph_debug,ph_selfcheck,ph_report,ph_other
add-autoscope-density-raster__task-1,add-autoscope-density-raster,task-1,codex,gpt-5.6-sol,high,2,360663513,584267,225410,2,0,3985,1,2,5,4,2,3,4,3,3.3,5,5,4,5,5,0,0,4,1,A,721,355,3758,2687,0,1311,0,0,5969,5879
add-autoscope-density-raster__task-2,add-autoscope-density-raster,task-2,codex,gpt-5.6-sol,high,2,363980483,591109,225410,2,0,2638,1,4,4,4,4,3,4,3,3.8,5,5,3,5,5,0,1,2,2,B,338,3375,156,3067,0,1493,2192,485,7417,6731
add-autoscope-density-raster__task-3,add-autoscope-density-raster,task-3,codex,gpt-5.6-sol,high,2,7938375,35421,137377,0,20,3569,3,3,3,4,4,3,4,3,3.5,4,5,4,2,4,0,2,3,,C,842,314,4999,5942,0,1406,4029,197,0,9565
add-autoscope-density-raster__task-4,add-autoscope-density-raster,task-4,codex,gpt-5.6-sol,high,1,9462665,38667,148354,0,3,2484,2,2,3,1,4,1,5,4,2.7,5,5,4,4,5,0,0,4,1,A,349,3187,4988,1158,0,374,653,0,0,13175
add-autoscope-density-raster__task-5,add-autoscope-density-raster,task-5,codex,gpt-5.6-sol,high,2,6186305,32446,130749,0,18,3496,3,2,4,5,4,4,4,2,3.8,4,2,4,5,4,0,2,2,2,C,614,400,5127,3126,0,818,6166,355,1650,8542
add-autoscope-density-raster__task-6,add-autoscope-density-raster,task-6,codex,gpt-5.6-sol,high,2,8404178,36039,148503,0,9,3201,4,2,4,3,3,3,4,2,3.2,3,5,4,4,3,0,1,2,4,B,1603,11724,4891,306,245,1029,1622,1928,3750,1692
add-autoscope-density-raster__task-7,add-autoscope-density-raster,task-7,codex,gpt-5.6-sol,high,1,7224038,26078,170013,0,1,2930,3,3,2,1,4,1,5,4,2.7,4,5,4,4,3,0,2,2,2,C,1080,2970,0,0,3608,6130,426,577,805,3373
add-browser-wasm-runtime__task-1,add-browser-wasm-runtime,task-1,codex,gpt-5.6-terra,medium,4,7378109,57967,86979,0,2,,5,5,3,3,5,5,4,4,4.2,4,4,4,3,2,0,3,2,2,C,3251,9664,7971,5591,0,7867,8049,4482,1566,40
add-browser-wasm-runtime__task-2,add-browser-wasm-runtime,task-2,codex,gpt-5.6-terra,medium,2,16484836,58721,207580,0,20,,4,2,2,4,2,2,3,2,2.5,4,4,4,4,5,0,0,2,1,A,3088,12462,7634,9493,0,6298,9480,0,657,1121
add-browser-wasm-runtime__task-3,add-browser-wasm-runtime,task-3,codex,gpt-5.6-terra,medium,2,3589514,31019,92718,0,8,,4,3,2,4,4,4,4,3,3.5,5,2,4,3,4,0,3,1,2,C,1870,8581,8696,257,0,3427,663,502,3167,0
add-browser-wasm-runtime__task-4,add-browser-wasm-runtime,task-4,codex,gpt-5.6-terra,high,2,9374313,65561,150325,0,3,,3,3,2,3,4,4,3,2,3.2,5,3,3,4,5,0,1,3,1,B,1092,16735,2737,11829,0,2532,18368,650,2397,0
add-browser-wasm-runtime__task-5,add-browser-wasm-runtime,task-5,codex,gpt-5.6-terra,high,1,2900431,21567,117136,0,2,,6,4,4,5,4,5,4,3,4.3,5,4,3,2,4,0,2,7,2,C,400,1454,10152,367,0,2011,3350,0,979,0
add-browser-wasm-runtime__task-6,add-browser-wasm-runtime,task-6,codex,gpt-5.6-terra,high,2,7577247,46587,182472,0,1,,2,3,4,4,4,4,4,3,3.8,5,1,4,2,3,1,0,2,2,F,1313,6152,10368,4469,0,813,13361,0,1473,0
add-browser-wasm-runtime__task-7,add-browser-wasm-runtime,task-7,codex,gpt-5.6-terra,high,1,1937632,23029,107845,0,0,,2,3,3,3,3,4,3,2,3.2,3,4,4,4,3,0,2,2,2,C,1020,4844,11365,0,0,2158,1388,0,295,0
add-browser-wasm-runtime__task-8,add-browser-wasm-runtime,task-8,codex,gpt-5.6-sol,high,1,16950873,41085,290457,0,16,,3,3,3,2,5,5,5,3,3.8,3,1,3,2,2,2,1,7,2,F,1014,2397,11081,0,0,704,14974,0,2210,0
add-browser-wasm-synth-runtime__task-1,add-browser-wasm-synth-runtime,task-1,codex,gpt-5,high,2,1532324,10354,85474,0,42,9626,1,3,2,2,3,2,3,1,2.5,5,5,3,3,5,0,0,4,1,B,1006,925,623,2941,0,2051,0,714,1653,0
add-browser-wasm-synth-runtime__task-2,add-browser-wasm-synth-runtime,task-2,codex,gpt-5.5,high,1,1961333,10915,78941,0,49,7813,1,3,3,3,3,2,3,1,2.8,4,4,4,4,5,0,1,2,1,B,1554,726,775,1625,0,244,572,754,2058,699
add-browser-wasm-synth-runtime__task-3,add-browser-wasm-synth-runtime,task-3,codex,gpt-5.5,high,1,2075625,15182,67910,0,59,10615,1,4,2,3,4,2,4,1,3.2,4,4,4,5,5,0,1,2,1,B,2325,595,560,3600,0,2212,635,1314,3068,0
add-browser-wasm-synth-runtime__task-4,add-browser-wasm-synth-runtime,task-4,codex,gpt-5.5,high,1,2086175,19666,78451,0,56,5401,1,3,3,3,3,3,3,1,3.0,5,5,4,4,5,0,0,3,1,A,5956,816,6020,2333,0,571,283,2208,1479,0
add-browser-wasm-synth-runtime__task-5,add-browser-wasm-synth-runtime,task-5,codex,gpt-5.5,high,1,2987349,17096,109016,0,63,5350,1,3,3,2,3,2,3,1,2.7,3,2,4,4,5,0,2,2,1,C,1982,2529,2369,3592,0,1503,644,1143,2287,0
add-browser-wasm-synth-runtime__task-6,add-browser-wasm-synth-runtime,task-6,codex,gpt-5.5,high,2,3075334,27253,71671,0,79,4532,2,3,3,2,4,3,3,1,3.0,3,3,3,5,4,0,2,3,2,C,2033,2082,4319,2471,0,7052,2854,3448,2693,0
add-browser-wasm-synth-runtime__task-7,add-browser-wasm-synth-runtime,task-7,codex,gpt-5.5,high,1,904392,8516,46439,0,41,2965,1,2,2,1,2,2,2,1,1.8,5,5,4,5,5,0,0,1,1,A,849,1646,468,708,0,3495,0,360,990,0
add-browser-wasm-synth-runtime__task-8,add-browser-wasm-synth-runtime,task-8,codex,gpt-5.5,high,1,3932050,16959,134940,0,89,3281,1,3,3,3,5,5,5,3,4.0,5,5,4,4,5,0,0,2,1,A,1188,1381,0,0,0,4734,2449,2842,3567,0
add-dresden-4-synth-app__task-1,add-dresden-4-synth-app,task-1,codex,gpt-5.5,high,3,7377789,42538,127584,0,41,,1,,,,,,,,,5,4,3,4,5,0,0,3,1,B,1559,5730,2615,321,0,1961,0,4475,2694,1666
add-dresden-4-synth-app__task-2,add-dresden-4-synth-app,task-2,codex,gpt-5.5,high,3,16684047,60308,171249,0,53,,3,,,,,,,,,5,3,4,4,5,0,1,1,1,B,2659,6343,1794,4733,243,1549,2594,1794,3988,3261
add-dresden-4-synth-app__task-3,add-dresden-4-synth-app,task-3,codex,gpt-5.5,high,4,5747443,43647,121999,0,44,,1,,,,,,,,,5,5,4,5,5,0,0,1,1,A,1759,6496,5778,2738,0,908,0,258,2018,467
add-dresden-4-synth-app__task-4,add-dresden-4-synth-app,task-4,codex,gpt-5.5,high,3,59336137,153124,306030,4,30,,2,3,1,3,4,3,5,3,3.2,5,1,3,2,2,1,0,4,2,F,1041,2645,6129,0,0,1770,0,1633,314,3258
add-dresden-4-synth-app__task-5,add-dresden-4-synth-app,task-5,codex,gpt-5.6-sol,high,2,3664021,14837,94909,0,2,,2,,,,,,,,,2,1,3,2,1,1,2,2,2,F,639,624,2367,1185,0,1468,243,0,344,0
add-dresden-4-synth-app__task-6,add-dresden-4-synth-app,task-6,codex,gpt-5.5,high,2,7658003,33925,167450,0,41,,1,,,,,,,,,5,4,4,5,5,0,0,2,1,A,928,4795,158,8022,0,1563,0,4606,3393,3906
add-dresden-4-synth-app__task-7,add-dresden-4-synth-app,task-7,codex,gpt-5.5,high,1,4567417,17999,122740,0,69,,2,,,,,,,,,5,3,4,3,5,0,1,2,1,B,1450,3416,294,2067,0,906,0,0,1577,6660
add-dresden-4-synth-app__task-8,add-dresden-4-synth-app,task-8,codex,gpt-5.5,high,1,1156794,9359,65470,0,37,,1,,,,,,,,,4,5,5,5,5,0,0,1,1,A,344,2385,132,1448,0,382,0,681,2472,1515
add-dresden-4-synth-app__task-9,add-dresden-4-synth-app,task-9,codex,gpt-5.5,high,1,10149821,30440,191187,0,106,,2,,,,,,,,,3,4,4,2,2,0,1,1,2,B,1109,1347,111,0,0,0,0,0,0,23011
add-mf-twister-midi-profile__task-1,add-mf-twister-midi-profile,task-1,codex,gpt-5.5,high,1,605824,5566,47717,0,30,,0,3,3,2,3,2,2,3,2.5,,,,,,,,,,,1474,768,702,328,0,411,310,487,551,0
add-mf-twister-midi-profile__task-2,add-mf-twister-midi-profile,task-2,codex,gpt-5.5,high,1,1117659,9600,85912,0,37,,0,2,4,3,3,2,3,2,2.8,,,,,,,,,,,1883,667,2163,1490,0,877,96,2027,397,0
add-mf-twister-midi-profile__task-3,add-mf-twister-midi-profile,task-3,codex,gpt-5.5,high,1,2109460,10148,104768,0,38,,0,2,4,3,4,2,4,3,3.2,,,,,,,,,,,1196,1022,2183,1407,0,675,612,264,611,1304
add-mf-twister-midi-profile__task-4,add-mf-twister-midi-profile,task-4,codex,gpt-5.5,high,1,2464833,12692,122894,0,47,,0,3,3,2,3,2,3,2,2.7,,,,,,,,,,,1979,932,2072,1234,0,1486,2280,710,482,1517
add-midi-clock-sync-pll__task-2,add-midi-clock-sync-pll,task-2,codex,gpt-5.5,high,1,1848876,14045,91042,0,42,,0,2,4,5,2,3,2,2,3.0,,,,,,,,,,,782,2473,3591,4502,0,1185,465,516,473,0
add-midi-profile-json-persistence__task-1,add-midi-profile-json-persistence,task-1,codex,gpt-5.5,high,1,1710296,12189,76358,0,41,,0,2,2,3,2,2,2,1,2.2,,,,,,,,,,,1326,558,1144,613,0,442,5849,290,755,741
add-midi-profile-json-persistence__task-2,add-midi-profile-json-persistence,task-2,codex,gpt-5.5,high,1,3882504,20431,120890,0,53,,0,2,3,3,3,2,4,2,2.8,,,,,,,,,,,1257,968,6013,4791,0,1718,1977,985,402,1869
add-note-system-message-mappings__task-1,add-note-system-message-mappings,task-1,codex,gpt-5.6-sol,high,1,3272064,18510,114077,0,4,5025,2,3,4,4,4,3,4,1,3.7,5,5,4,5,5,0,0,2,1,A,661,0,2217,4313,0,351,0,2359,763,384
add-note-system-message-mappings__task-2,add-note-system-message-mappings,task-2,codex,gpt-5.6-sol,high,1,1628396,12502,84655,0,0,2511,1,2,3,3,3,2,3,2,2.7,5,5,5,5,5,0,0,0,1,A,2163,0,1625,370,0,0,0,536,132,0
add-note-system-message-mappings__task-3,add-note-system-message-mappings,task-3,codex,gpt-5.6-sol,high,1,12299544,34616,196859,0,6,4323,2,3,4,3,4,3,4,2,3.5,5,5,2,4,5,0,2,1,2,C,1245,0,2462,1006,0,520,1150,0,530,681
add-note-system-message-mappings__task-4,add-note-system-message-mappings,task-4,codex,gpt-5.6-sol,high,1,2484914,8388,94254,0,8,1942,1,1,2,1,2,1,2,1,1.5,5,5,5,5,5,0,0,0,1,A,1488,0,0,0,0,507,0,0,167,1104
add-portable-modulator-visualizers__task-1,add-portable-modulator-visualizers,task-1,codex,gpt-5.5,high,1,1774996,12829,73783,0,50,9378,1,2,3,3,2,3,3,1,2.7,5,5,5,5,5,0,0,0,1,A,1086,1665,1746,1458,0,1405,0,1222,1859,597
add-portable-modulator-visualizers__task-2,add-portable-modulator-visualizers,task-2,codex,gpt-5.5,high,1,2088753,10038,90774,0,49,4592,1,2,3,2,2,2,3,1,2.3,5,5,5,5,5,0,0,0,1,A,1147,2070,1075,639,0,1273,525,369,1946,528
add-portable-modulator-visualizers__task-3,add-portable-modulator-visualizers,task-3,codex,gpt-5.5,high,1,3339141,12808,98923,0,55,7788,1,3,3,3,4,3,4,2,3.3,5,5,5,4,5,0,0,1,1,A,928,3170,2068,845,0,1758,0,323,586,381
add-portable-modulator-visualizers__task-4,add-portable-modulator-visualizers,task-4,codex,gpt-5.5,high,1,1534302,11240,70462,0,41,3959,1,2,3,3,4,3,4,3,3.2,5,5,4,5,5,0,0,1,1,A,1564,2041,2234,346,0,1132,0,205,2308,310
add-portable-modulator-visualizers__task-5,add-portable-modulator-visualizers,task-5,codex,gpt-5.5,high,1,704670,6450,50837,0,28,1674,2,1,2,1,2,2,2,1,1.7,5,5,5,5,5,0,0,0,1,A,1051,1484,477,0,0,458,324,534,471,1651
add-portable-modulator-visualizers__task-6,add-portable-modulator-visualizers,task-6,codex,gpt-5.5,high,1,25148043,62934,237379,4,25,3404,3,2,2,1,2,1,3,1,1.8,5,5,5,4,5,0,0,1,1,A,1328,3972,0,608,0,1739,558,0,439,705
add-runtime-button-grids__task-1,add-runtime-button-grids,task-1,codex,gpt-5.6-terra,medium,1,1408331,7365,73511,0,6,2486,3,2,2,2,4,3,3,2,2.7,5,5,4,5,5,0,0,1,1,A,1740,0,534,300,0,0,0,0,375,959
add-runtime-button-grids__task-2,add-runtime-button-grids,task-2,codex,gpt-5.6-terra,high,1,2299664,18063,112357,0,1,4713,2,2,3,3,3,3,3,2,2.8,5,5,4,4,5,0,0,1,1,A,971,2101,2127,2180,0,1797,948,1170,1237,0
add-runtime-button-grids__task-3,add-runtime-button-grids,task-3,codex,gpt-5.6-terra,medium,1,1049159,7787,49214,0,2,1537,3,1,2,1,3,1,3,1,1.8,3,5,5,5,3,0,1,0,2,B,437,0,0,0,0,2316,226,1978,472,0
add-sheaf-synth-superapp__task-1,add-sheaf-synth-superapp,task-1,codex,gpt-5.5,high,3,1990469,17177,66189,0,66,,0,3,3,2,2,2,3,2,2.5,,,,,,,,,,,2493,1800,5219,2161,0,0,0,3796,1708,0
add-sheaf-synth-superapp__task-2,add-sheaf-synth-superapp,task-2,codex,gpt-5.5,high,1,2153515,9148,80549,0,48,,0,3,4,3,4,3,4,3,3.5,,,,,,,,,,,540,4015,464,165,0,503,973,1572,916,0
add-sheaf-synth-superapp__task-3,add-sheaf-synth-superapp,task-3,codex,gpt-5.5,high,1,6137394,20534,142959,0,91,,0,3,2,2,4,5,4,4,3.3,,,,,,,,,,,1123,3020,5449,229,0,3882,1761,1771,792,2253
add-standard-modulators__task-1,add-standard-modulators,task-1,codex,gpt-5.6-sol,high,2,13501370,51112,162359,0,18,2690,7,3,4,2,1,1,3,1,2.3,,,,,,,,,,,1301,6060,9416,651,0,974,1236,1574,3745,1099
add-standard-modulators__task-2,add-standard-modulators,task-2,codex,gpt-5.6-sol,high,2,5902748,31347,107050,0,11,2051,4,2,3,1,2,2,2,1,2.0,5,5,4,4,5,0,0,2,1,A,1490,805,5584,1871,0,1573,1171,1215,2889,819
add-standard-modulators__task-3,add-standard-modulators,task-3,codex,gpt-5.6-sol,high,1,6042686,24251,151949,0,3,4514,3,3,4,3,4,3,4,2,3.5,5,5,3,5,4,0,0,4,1,B,347,0,4233,110,0,1116,0,0,134,183
add-standard-modulators__task-4,add-standard-modulators,task-4,codex,gpt-5.6-sol,high,1,17602785,53698,223454,2,13,3177,4,3,3,2,4,3,4,3,3.2,3,3,4,4,3,0,3,2,2,C,1125,542,9516,528,0,2295,2755,1972,636,2483
add-standard-modulators__task-5,add-standard-modulators,task-5,codex,gpt-5.6-sol,high,1,71799345,104887,234888,4,14,2187,0,3,3,1,5,4,5,4,3.5,,,,,,,,,,,273,269,0,0,1658,2036,0,0,1973,2217
add-synth-modules-dual-vco__task-1,add-synth-modules-dual-vco,task-1,codex,gpt-5.5,high,1,2382784,15197,113560,0,42,,0,3,4,3,3,2,3,3,3.0,,,,,,,,,,,2104,714,3565,5568,0,531,0,1925,707,83
add-synth-modules-dual-vco__task-3,add-synth-modules-dual-vco,task-3,codex,gpt-5.5,high,1,2386193,12906,114426,0,45,,0,3,4,4,3,3,3,3,3.3,,,,,,,,,,,1273,2286,2297,3374,0,467,606,1521,673,92
add-synth-runtime-data-directory__task-4,add-synth-runtime-data-directory,task-4,codex,gpt-5.5,high,1,2494487,14158,171717,0,60,,1,3,5,4,4,3,4,2,3.8,5,5,5,4,5,0,0,0,2,B,914,3402,4083,1586,0,1951,1382,0,840,0
